Application Number,Filing Date,Mark Name,Trademark Description,Goods and Services,Applicant Name,Applicant Country,Trademark Image URL,Status,Expiry Date
T0401663A,2004-02-09,lady foot locker,,"Design of clothing, consumer products, fashion accessories, sports facilities and software.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401663A/65f7319a-2015-43c8-b4b3-e54349bc676a/T0401663A.jpg,Removed,2013-10-20
T0401664Z,2004-02-09,foot locker,,"Helmets for use in sports; protective sports helmets; protective face masks to prevent injury [other than for use in the sport of fencing]; eyewear; eye protection wear for sports; sports glasses [eye wear]; sport glasses [spectacles]; retainers for sports spectacles; sports goggles; sport glasses [telescopes]; sports glasses [binoculars]; binoculars; sunglasses; chains, frames, lens, cases, nose-pieces, cords, straps and cases for eyewear; protective devices [against accident or injury]; teeth protectors; body protectors; chest protectors for the prevention of accident or injury [other than specifically adapted for sport]; stomach protectors [other than adapted for use in a specfic sport]; abdomen protectors for protection against injury [other than parts of sports suits or adapted for use in specific sporting activities]; elbow guards [sports articles]; hip protectors [other than specifically made for playing sports]; groin guards; protectors for the knee for use when riding bicycles; hand protectors [other than adapted for sporting use]; fist protectors [other than adapted for sporting use]; gloves for protection against injury; shinbone protectors for protection against injury [other than sports articles]; protective belts for the prevention of injury; safety life belts; safety life jackets; diving suits; marking buoys; ear plugs for swimming, pouches for audio-visual, optical or photographic apparatus or mobile phones; protective pouches adapted for use with audio cassettes, floppy disks or for the storage of optical or magnetic discs; carriers adapted for compact discs or computer discs or mobile phones; bags adapted for carrying photographic or video apparatus; computer hardware and software; pre-recorded discs; pre-recorded read only memory [ROM] discs; pre-recorded digital versatile disc [ROM] discs; computer programmes recorded on discs; computer software for assisting in the design of sports equipment; computer programs for use in sports; pre-recorded audio and video tapes, discs, cartridges and cassettes featuring sports or sports figures; measuring apparatus and instruments for use in sports or sports events; display apparatus and instruments [electrical or electronic] for use in sports or sports events; automatic controlling apparatus and instruments [electric] for use in sports or sports events; photographic, cinematographic, optical apparatus and instruments for use in sports or sports events; chronographs [time recording apparatus]; pedometers; odometers; speedometers; magnetic compasses; magnifying glasses; megaphones; neon signs; radios; amplifiers; loudspeakers; magnets; batteries; calculators; video games; electronic games adapted for use with television receivers only; apparatus for recording, transmission or reproduction of sound or images; automatic vending machines and mechanisms for coin-operated apparatus.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401664Z/1182c123-e236-4244-8d92-98541fac97b1/T0401664Z.jpg,Removed,2013-10-20
T0401665H,2004-02-09,lfl,,"Helmets for use in sports; protective sports helmets; protective face masks to prevent injury [other than for use in the sport or fencing]; eyewear; eye protection wear for sports; sports glasses [eye wear]; sports glasses [spectacles]; retainers for sports spectacles; sports goggles; sports glasses [telescopes]; sports glasses [binoculars]; binoculars; sunglasses; chains, frames, lens, cases, nose-pieces, cords, straps and cases for eyewear; protective devices [against accident or injury]; teeth protectors; body protectors; chest protectors; belly-shield protectors; abdomen protectors for protection against injury [other than parts of sports suits or adapted for use in specific sporting activities]; elbow guards [sports articles]; hip protectors; crotch protectors; knee protectors; hand protectors; fist protectors; gloves for protection against injury; shinbone protectors; ankle protectors; protective belts for the prevention of injury; safety life belts; lifejackets; diving suits; marking buoys; ear plugs for swimming, pouches for audio-visual, optical or photographic apparatus or mobile phones; protective pouches adapted for use with audio cassettes, floppy disks or for the storage of optical or magnetic discs; carriers adapted for compact discs or computer discs or mobile phones; bags adapted for carrying photographic or video apparatus; computer hardware and software; pre-recorded discs; pre-recorded read only memory [ROM] discs; pre-recorded digital versatile disc [ROM] discs; computer programmes recorded on discs; computer software for assisting in the design of sports equipment; computer programs for use in sports; pre-recorded audio and video tapes, disc, cartridges and cassettes featuring sports or sports figures; measuring-, display-and automatic controlling apparatus and instruments for use in sports or sports events; photographic, cinematographic, optical apparatus and instruments for use in sports and sports events; chronographs [time recording apparatus]; pedometers; odometers; speedometers; magnetic compasses; magnifying glasses; megaphones; neon signs; radios; amplifiers; loudspeakers; magnets; batteries; calculators; video games; electronic games; apparatus for recording, transmission or reproduction of sound or image; automatic vending machines and mechanisms for coin-operated apparatus.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401665H/6be08998-0395-4708-b6ee-539207fb13d3/T0401665H.jpg,Removed,2013-10-23
T0401666F,2004-02-09,foot locker,,"Baggage; bags for use in sports for carrying sports clothing;  backpacks; satchels; athletics bags; bags [saddlebags] for cyclists; bags for campers or climbers; bags for clothes or toiletry kits; bags made of leather, imitation leather or plastics materials; waist bags; bath bags; towelling bags; beach bags; belt bags; casual bags; duffel bags; garment bags; pouches [bags]; shoulder bags; sling bags; sport bags, other than adapted [shaped] to contain specific sports apparatus; sports holdalls, other than shaped to contain specific apparatus used in playing sports; tennis bags, other than adapted [shaped] to contain a racket; shoulder belts; wallets for attachment to belts; webbed belts [harnesses]; leather laces; leather wallets; pocket wallets; wallet holders incorporating shoulder straps; wallets for attachment to belts; holders [not stationery] in the nature of wallets for address books, cards, diaries, note books, note pads or printed materials; holders [stationery] in the nature of wallets for note books, note pads, printed materials or holders in the nature of cases for keys; luggage labels [tags] of leather or imitation leather; umbrellas, parasols and walking sticks.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401666F/85f0dcd7-7b21-47ba-9427-43fbdd475247/T0401666F.jpg,Removed,2013-10-20
T0401667D,2004-02-09,lfl,,"Bags; bags for use in sports for carrying sports clothing; combo bags; backpacks; satchels; athletics bags; bags [saddlebags] for cyclists; bags for campers or climbers; bags for clothes or toiletry kits; bags made of leather, imitation leather or plastics materials; waist bags; bath bags; towelling bags; beach bags; belt bags; casual bags; cosmetic bags [not fitted]; duffel bags; garment bags; pouches [bags]; shoulder bags; sling bags; sport bags, other than adapted [shaped] to contain specific sports apparatus; sports holdalls, other than shaped to contain specific apparatus used in playing sports; tennis bags, other than adapted [shaped] to contain a racket; shoulder belts; wallets for attachment to belts; webbed belts [harnesses]; leather laces; leather wallets; pocket wallets; wallet holders incorporating shoulder straps; wallets for attachment to belts; holders [not stationery] in the nature of wallets for address books, cards, diaries, note books, note pads or printed materials; holders [stationery] in the nature of wallets for note books, note pads, printed materials or keys; labels and tags made of leather of imitations of leather; goods made from leather, imitations of leather, animal skins, hides; umbrellas, parasols and walking sticks.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401667D/e97107e4-bd68-4f6c-adc7-e694fb1263da/T0401667D.jpg,Removed,2013-10-23
T0401668B,2004-02-09,foot locker,,"Clothing, footwear and headgear, and parts and fittings therefor; articles of sportswear; sports clothes [other than golf gloves]; sports coats; sports garments [other than golf gloves]; gym suits; gymwear; gym shorts; swimwear; shorts for wear whilst participating in sports; jackets being sports clothing; sports jackets; sports overalls; sports jerseys; sports shirts; sports jumpers; sports sweaters; T-shirts; sports uniforms [other than golf gloves or helmets]; articles of clothing being thermally insulated; articles of clothing made of cut-pieced fleece; knitted sportswear; articles of clothing for winter sports; articles of outer clothing for sports wear; sports windcheaters; overalls for sportswear; sports footwear; articles of sports footwear; shoes for sports wear; gymshoes; socks, sports hosiery; sports socks; inner socks for footwear; waterproof socks; sandals; sports headgear [other than helmets]; sports caps; sports gloves [other than golf gloves]; gloves [clothing]; gloves for cyclists; riding gloves; vinyl gloves; water repellent gloves for use by motor cyclists; woollen gloves; thermal underwear; sports underwear; sports bags shaped to contain footwear used in athletics; sports bags shaped to contain clothing used in athletics; belts [clothing]; belts made of leather [for wear]; fabric belts [for wear]; garter belts; leather belts [clothing]; suspender belts; webbed belts [clothing]; bands [for wear]; armbands [clothing]; sweat bands for the head; sweat bands for the wrist.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401668B/d2b82e70-02cb-484f-b52a-772433202db3/T0401668B.jpg,Removed,2013-10-20
T0401669J,2004-02-09,lfl,,"Clothing, footwear and headgear, and parts and fittings therefor; articles of sportswear; sports clothes [other than golf gloves]; sports coats; sports garments [other than golf gloves]; gym suits; gymwear; gym shorts; swimwear; bikinis; brassieres; shorts for wear whilst participating in sports; jackets being sports clothing; sports jackets; sports overalls; sports jerseys; sports shirts; sports jumpers; sports sweaters; T-shirts; sports uniforms [other than golf gloves or helmets]; articles of clothing being thermally insulated; articles of clothing made of cut-pieced fleece; knitted sportswear; articles of clothing for winter sports; articles of outer clothing for sports wear; sports windcheaters; overalls for sportswear; sports footwear; articles of sports footwear; shoes for sports wear; gymshoes; socks, sports hosiery; sports socks; inner socks for footwear; waterproof socks; sandals; sports headgear [other than helmets]; sports caps; sports gloves [other than golf gloves]; gloves [clothing]; gloves for cyclists; riding gloves; vinyl gloves; water repellent gloves for use by motor cyclists; woollen gloves; thermal underwear; sports underwear; sports bags shaped to contain footwear used in athletics; sports bags shaped to contain clothing used in athletics; belts [clothing]; belts made of leather [for wear]; fabric belts [for wear]; garter belts; leather belts [clothing]; suspender belts; webbed belts [clothing]; bands [for wear]; armbands; sweat bands for the head; sweat bands for the wrist.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401669J/1388feb4-a4e7-41fa-836a-fd199245fb1b/T0401669J.jpg,Removed,2013-10-23
T0401670D,2004-02-09,lfl,,"Promotional management for sports personalities; the bringing together, for the benefit of others, of a variety of goods, enabling customers to conveniently view and purchase those goods from an internet web site specializing in the marketing of sports wear and equipment; the bringing together, for the benefit of others, of a variety of goods, enabling customers to conveniently view and purchase those goods from a clothing and accessories catalogue by mail order or by means of telecommunications; the bringing together, for the benefit of others, of a variety of goods, enabling customers to conveniently view and purchase those goods in a retail clothes store; administration of the business affairs of retail stores; distribution of samples or advertising matter.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401670D/bedce19a-0c24-4d79-96cb-15eeef77398a/T0401670D.jpg,Removed,2013-10-23
T0401671B,2004-02-09,foot locker,,"Starting blocks [for sports]; apparatus for use in sports; articles of sports apparatus; sports games; apparatus for sports for use with water; kickboards; apparatus for racquet sports; gloves made specifically for use in playing sports; batting gloves [accessories for games]; baseball gloves; boxing gloves; fencing gloves; golf gloves; sports garments [golf gloves]; gloves for games; grips for the handles of sports rackets; wrist bands for use in playing sports; face masks for sports [other than diving]; abdomen protectors [parts of sports suits]; hip protectors and hip-guards specially made for playing sports; knee guards, knee pads or knee protectors adapted for use whilst playing sports; protective paddings [parts of sports suits]; pads for protecting the body against accident or injury [adapted for sports]; shin guards, shin pads, shin protectors [sports articles]; safety restraints for use in sports or for sports equipment; safety belts for use in sporting activities; belts for weightlifting; nets for sports; apparatus for ball games; articles for use in ball games or with ball games; balls being sporting articles; balls for playing games or sports; sports balls; racket balls; table tennis balls; tennis balls; kicking balls; rugby balls; soccer balls; sport balls; squash balls; ball pumps; sports bats; sports rackets; rackets for ball games; baseball bats; bats [sporting articles]; bats for games; table tennis bats; coverings for table tennis bats; sports holdalls shaped to contain specific apparatus used in playing sports [other than clothing or for protective purposes]; bags adapted for sporting articles; bags adapted to carry sports implements; sports bags [shaped to contain apparatus used in playing sports]; tennis bags shaped to contain a racket; bags adapted to carry gymnastic articles; gymnastic articles; portable home gymnastic apparatus; apparatus for gymnastics; sports training apparatus; training appliances for sportsmen; rings for sports; games, gymnastic and sporting articles not included in other classes.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401671B/fcbcdad5-fc49-4a61-bec8-12bc69548bb1/T0401671B.jpg,Removed,2013-10-20
T0401672J,2004-02-09,lfl,,"Insurance services relating to sports; financial sponsorship in the fields of culture, sports and research; insurance and financial services provided to celebrities in the field of sports; electronic banking via the Internet; credit card services.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401672J/0ee99cd3-d81e-43a1-859d-ce4174d91eb3/T0401672J.jpg,Removed,2013-10-23
T0401673I,2004-02-09,foot locker,,"Promotional management for sports personalities; the bringing together, for the benefit of others, of a variety of goods, enabling customers to conveniently view and purchase those goods from an internet web site specializing in the marketing of sports wear and equipment; the bringing together, for the benefit of others, of a variety of goods, enabling customers to conveniently view and purchase those goods from a clothing and accessories catalogue by mail order or by means of telecommunications; the bringing together, for the benefit of others, of a variety of goods, enabling customers to conveniently view and purchase those goods in a retail clothes store; administration of the business affairs of retail stores; distribution of samples or advertising matter.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401673I/ac1ad16f-8505-477d-85d7-66155dae5b9b/T0401673I.jpg,Removed,2013-10-20
T0401674G,2004-02-09,lfl,,"Provision of apparatus for sports; provision of information relating to sports; instruction services relating to sports; sports coaching; sports education services; sports training; sports tuition; providing sports facilities; providing sports training facilities; sports entertainment services; organizing of sports, sports events and cultural activities; electronic games services provided by means of the internet.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401674G/b27b6ad2-7459-484a-8bc1-edc2f9c655e5/T0401674G.jpg,Removed,2013-10-23
T0401675E,2004-02-09,lfl,,"Design of clothing, consumer products, fashion accessories, sports facilities and software.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401675E/a374b782-5db3-4849-9d65-81a80d4b4d72/T0401675E.jpg,Removed,2013-10-23
T0401676C,2004-02-09,foot locker,,"Insurance services relating to sports; financial sponsorship in the fields of culture, sports and research; insurance and financial services provided to celebrities in the field of sports; electronic banking via the Internet; credit card services.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401676C/0bb588b7-0e7f-4751-b326-021af317071b/T0401676C.jpg,Removed,2013-10-20
T0401677A,2004-02-09,lfl,,"Starting blocks [for sports]; apparatus for use in sports; articles of sports apparatus; sports games; apparatus for sports for use with water; kickboards; apparatus for racquet sports; gloves made specifically for use in playing sports; batting gloves [accessories for games]; baseball gloves; boxing gloves; fencing gloves; golf gloves; sports garments [golf gloves]; gloves for games; grips for the handles of sports rackets; wrist bands for use in playing sports; face masks for sports [other than diving]; abdomen protectors [parts of sports suits]; hip protectors and hip-guards specially made for playing sports; knee guards, knee pads or knee protectors adapted for use whilst playing sports; protective paddings [parts of sports suits]; pads for protecting the body against accident or injury [adapted for sports]; shin guards, shin pads, shin protectors [sports articles]; safety restraints for use in sports or for sports equipment; safety belts for use in sporting activities; belts for weightlifting; nets for sports; apparatus for ball games; articles for use in ball games or with ball games; balls being sporting articles; balls for playing games or sports; sports balls; racket balls; table tennis balls; tennis balls; kicking balls; rugby balls; soccer balls; sport balls; squash balls; ball pumps; sports bats; sports rackets; rackets for ball games; baseball bats; bats [sporting articles]; bats for games; table tennis bats; coverings for table tennis bats; sports holdalls shaped to contain specific apparatus used in playing sports [other than clothing or for protective purposes]; bags adapted for sporting articles; bags adapted to carry sports implements; sports bags [shaped to contain apparatus used in playing sports]; tennis bags shaped to contain a racket; bags adapted to carry gymnastic articles; gymnastic articles; portable home gymnastic apparatus; apparatus for gymnastics; sports training apparatus; training appliances for sportswomen; rings for sports; games, gymnastic and sporting articles not included in other classes.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401677A/5da47750-7b0f-4869-b312-3284ab4f18c7/T0401677A.jpg,Removed,2014-02-09
T0401678Z,2004-02-09,,,"Helmets for use in sports; protective sports helmets; protective face mask to prevent injury [other than for use in the sport of fencing]; eyewear; eye protection wear for sports; sports glasses [eye wear]; sport glasses [spectacles]; retainers for sports spectacles; sports goggles; sports glasses [telescopes]; sport glasses [binoculars]; binoculars; sunglasses; chains, frames, lens, cases, nose-pieces, cords, straps and cases for eyewear; protective devices [against accident or injury]; teeth protectors; body protectors; chest protectors for the prevention of accident or injury [other than specifically adapted for sport]; stomach protectors [other than adapted for use in a specific sport]; abdomen protectors for protection against injury [other than parts of sports suits or adapted for use in specific sporting activities]; elbow guards [sports articles]; hip protectors [other than specially made for playing sports]; protectors for the knee for use when riding bicycles; hand protectors [other than adapted for sporting use]; fist protectors [other than adapted for sporting use]; gloves for protection against injury; shinbone protectors for protection against injury [other than adapted for sporting use]; protective belts for the prevention of injury; safety life belts; safety lifejackets; diving suits; marking buoys; ear plugs for swimming, pouches for audio-visual, optical or photographic apparatus or mobile phones; protective pouches adapted for use with audio cassettes, floppy disks for the storage of optical or magnetic discs; carriers adapted for compact discs or computer discs or mobile phones; bags adapted for carrying photographic or video apparatus; computer hardware and software; pre-recorded discs; pre-recorded read only memory [ROM] discs; pre-recorded digital versatile disc [ROM] discs; computer programmes recorded on discs; computer software for assisting in the design of sports equipment; computer programs for use in sports; pre-recorded audio and video tapes, discs, cartridges and cassettes featuring sports or sports figures; measuring apparatus and instruments for use in sports or sports events; display apparatus and instruments [electrical or electronic] for use in sports or sports events; automatic controlling apparatus and instruments [electric] for use in sports or sports events; photographic, cinematographic, optical apparatus and instruments for use in sports or sports events; chronographs [time recording apparatus]; pedometers; odometers; speedometers; magnetic compasses; magnifying glasses; megaphones; neon signs; radios; amplifiers; loudspeakers; magnets; batteries; calculators; video games; electronic games adapted for use with television receivers only; apparatus for recording, transmission or reproduction of sound or images; automatic vending machines and mechanisms for coin-operated apparatus.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401678Z/45d90f11-d5aa-4a5b-95f9-34642cc0988d/T0401678Z.jpg,Removed,2013-10-18
T0401679H,2004-02-09,foot locker,,"Provision of apparatus for sports; provision of information relating to sports; agency services for promoting sports personalities; instruction services relating to sports; sports coaching; sports education services; sports training; sports tuition; providing sports facilities; providing sports training facilities; sports entertainment services; organizing of sports, sports events and cultural activities; electronic games services provided by means of the Internet.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401679H/de9be4ec-984d-4fc0-a9a6-45fbe50b7bbd/T0401679H.jpg,Removed,2013-10-20
T0401680A,2004-02-09,,,"Bags; bags for use in sports for carrying sports clothing; combo bags; backpacks; satchels; athletics bags; bags [saddlebags] for cyclists; bags for campers or climbers; bags for clothes or toiletry kits; bags made of leather, imitation leather or plastics materials; waist bags; bath bags; towelling bags; beach bags; belt bags; casual bags; cosmetic bags [not fitted]; duffel bags; garment bags; pouches [bags]; shoulder bags; sling bags; sport bags, other than adapted [shaped] to contain specific sports apparatus; sports holdalls, other than shaped to contain specific apparatus used in playing sports; tennis bags, other than adapted [shaped] to contain a racket; shoulder belts; wallets for attachment to belts; webbed belts [harnesses]; leather laces; leather wallets; pocket wallets; wallet holders incorporating shoulder straps; wallets for attachment to belts; holders [not stationery] in the nature of wallets for address books, cards, diaries, note books, note pads or printed materials; holders [stationery] in the nature of wallets for note books, note pads, printed materials or keys; labels and tags made of leather of imitations of leather; goods made from leather, imitations of leather, animal skins, hides; umbrellas, parasols and walking sticks.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401680A/94c81384-cc41-4818-ab0d-bf62e4fe0516/T0401680A.jpg,Removed,2013-10-18
T0401681Z,2004-02-09,,,"Clothing, footwear and headgear, and parts and fittings therefor; articles of sportswear; sports clothes [other than golf gloves]; sports coats; sports garments [other than golf gloves]; gym suits; gymwear; gym shorts; swimwear; bikinis; brassieres; shorts for wear whilst participating in sports; jackets being sports clothing; sports jackets; sports overalls; sports jerseys; sports shirts; sports jumpers; sports sweaters; T-shirts; sports uniforms [other than golf gloves or helmets]; articles of clothing being thermally insulated; articles of clothing made of cut-pieced fleece; knitted sportswear; articles of clothing for winter sports; articles of outer clothing for sports wear; sports windcheaters; overalls for sportswear; sports footwear; articles of sports footwear; shoes for sports wear; gymshoes; socks, sports hosiery; sports socks; inner socks for footwear; waterproof socks; sandals; sports headgear [other than helmets]; sports caps; sports gloves [other than golf gloves]; gloves [clothing]; gloves for cyclists; riding gloves; vinyl gloves; water repellent gloves for use by motor cyclists; woollen gloves; thermal underwear; sports underwear; sports bags shaped to contain footwear used in athletics; sports bags shaped to contain clothing used in athletics; belts [clothing]; belts made of leather [for wear]; fabric belts [for wear]; garter belts; leather belts [clothing]; suspender belts; webbed belts [clothing]; bands [for wear]; armbands; sweat bands for the head; sweat bands for the wrist.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401681Z/281fd80b-37b6-4dad-ba16-e28d808715c7/T0401681Z.jpg,Registered,2023-10-18
T0401682H,2004-02-09,foot locker,,"Design of clothing, consumer products, fashion accessories, sports facilities and software.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401682H/a154ddcf-5d35-473a-a75e-456888cefc47/T0401682H.jpg,Removed,2013-10-20
T0401683F,2004-02-09,,,"Starting blocks [for sports]; apparatus for use in sports; articles of sports apparatus; sports games; apparatus for sports for use with water; kickboards; apparatus for racquet sports; gloves made specifically for use in playing sports; batting gloves [accessories for games]; baseball gloves; boxing gloves; fencing gloves; golf gloves; sports garments [golf gloves]; gloves for games; grips for the handles of sports rackets; wrist bands for use in playing sports; grip bands for badminton rackets; squash rackets; table tennis bats or tennis rackets; wrist bands for use in playing sports; face masks for sports [other than diving]; abdomen protectors [parts of sports suits]; hip protectors and hip-guards specially made for playing sports; knee guards, knee pads or knee protectors adapted for use whilst playing sports; protective paddings [parts of sports suits]; pads for protecting the body against accident or injury [adapted for sports]; shin guards, shin pads, shin protectors [sports articles]; safety restraints for use in sports or for sports equipment; safety belts for use in sporting activities; belts for weightlifting; nets for sports; apparatus for ball games; articles for use in ball games or with ball games; balls being sporting articles; balls for playing games or sports; sports balls; racket balls; table tennis balls; tennis balls; kicking balls; rugby balls; soccer balls; sport balls; squash balls; ball pumps; sports bats; sports rackets; rackets for ball games; baseball bats; bats [sporting articles]; bats for games; table tennis bats; coverings for table tennis bats; sports holdalls shaped to contain specific apparatus used in playing sports [other than clothing or for protective purposes]; bags adapted for sporting articles; bags adapted to carry sports implements; sports bags [shaped to contain apparatus used in playing sports]; tennis bags shaped to contain a racket; bags adapted to carry gymnastic articles; gymnastic articles; portable home gymnastic apparatus; apparatus for gymnastics; sports training apparatus; training appliances for sportsmen; rings for sports; games, gymnastic and sporting articles not included in other classes.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401683F/c863c20a-4924-4f35-b0b4-db8b7a37aa76/T0401683F.jpg,Removed,2013-10-18
T0401684D,2004-02-09,,,"Promotional management for sports personalities; the bringing together, for the benefit of others, of a variety of goods, enabling customers to conveniently view and purchase those goods from an internet web site specializing in the marketing of sports wear and equipment; the bringing together, for the benefit of others, of a variety of goods, enabling customers to conveniently view and purchase those goods from a clothing and accessories catalogue by mail order or by means of telecommunications; the bringing together, for the benefit of others, of a variety of goods, enabling customers to conveniently view and purchase those goods in a retail clothes store; administration of the business affairs of retail stores; distribution of samples or advertising matter.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401684D/c3ec5ba6-1830-4f29-a4da-d0cbfe97064d/T0401684D.jpg,Registered,2023-10-18
T0401685B,2004-02-09,,,"Insurance services relating to sports; financial sponsorship in the fields of culture, sports and research; insurance and financial services provided to celebrities in the field of sports; electronic banking via the Internet; credit card services.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401685B/3eb65386-35de-4a88-82b3-c58c16add087/T0401685B.jpg,Removed,2013-10-18
T0401686J,2004-02-09,,,"Provision of apparatus for sports; provision of information relating to sports; agency services for promoting sports personalities; instruction services relating to sports; sports coaching; sports education services; sports training; sports tuition; providing sports facilities; providing sports training facilities; sports entertainment services; organizing of sports, sports events and cultural activities; electronic games services provided by means of the Internet.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401686J/3d08252c-5a39-4593-a0c5-b992770a9d09/T0401686J.jpg,Removed,2013-10-18
T0401687I,2004-02-09,kids foot locker,,"Helmets for use in sports; protective sports helmets; protective face masks to prevent injury [other than for use in the sport of fencing]; eyewear; eye protection wear for sports; sports glasses [eye wear]; sports glasses [spectacles]; retainers for sports spectacles; sports goggles; sports glasses [telescopes]; sports glasses [binoculars]; binoculars; sunglasses; chains, frames, lens, cases, nose-pieces, cords, straps and cases for eyewear; protective equipment for athletes or sportspersons of leather or leather imitation or plastics; teeth protectors; body protectors; chest protectors; belly-shield protectors; abdomen protectors for protection against injury [other than parts of sports suits or adapted for use in specific sporting activities]; elbow guards [sports articles]; hip protectors; groin guards; knee protectors; hand protectors; fist protectors; gloves for protection against injury; shinbone protectors; ankle protectors; foot protectors; protective belts for the prevention of injury; safety life belts; lifejackets; diving suits; buoys; ear plugs for swimming, pouches for audio-visual, optical or photographic apparatus or mobile phones; protective pouches adapted for use with audio cassettes, floppy disks or for the storage of optical or magnetic discs; carriers adapted for compact discs or computer discs or mobile phones; bags adapted for carrying photographic or video apparatus; computer hardware and software; pre-recorded discs; pre-recorded read only memory [ROM] discs; pre-recorded digital versatile disc [ROM] discs; computer programmes recorded on discs; computer software for assisting in the design of sports equipment; computer programs for use in sports; pre-recorded audio and video tapes, discs, cartridges and cassettes featuring sports or sports figures; measuring-, display-and automatic controlling apparatus and instruments for use in sports or sports events; photographic, cinematographic, optical apparatus and instruments for use in sports or sports events; chronographs; pedometers; odometers; speedometers; compasses; magnifying glasses; megaphones; neon signs; radios; amplifiers; loudspeakers; magnets; batteries; calculators; video games; electronic games; apparatus for recording, transmission or reproduction of sound or images; automatic vending machines and mechanisms for coin-operated apparatus.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401687I/e9034b02-63f4-4551-a8d5-9bda854459b0/T0401687I.jpg,Removed,2013-10-20
T0401688G,2004-02-09,,,"Design of clothing, consumer products, fashion accessories, sports facilities and software.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401688G/792276da-f571-4e7b-9497-7dd2df11a8ae/T0401688G.jpg,Removed,2013-10-18
T0401689E,2004-02-09,kids foot locker,,"Baggage; bags for use in sports for carrying sports clothing;  backpacks; satchels; athletics bags; bags [saddlebags] for cyclists; bags for campers or climbers; bags for clothes or toiletry kits; bags made of leather, imitation leather or plastics materials; waist bags; bath bags; towelling bags; beach bags; belt bags; casual bags; cosmetic bags [not fitted]; duffel bags; garment bags; pouches [bags]; shoulder bags; sling bags; sport bags, other than adapted [shaped] to contain specific sports apparatus; sports holdalls, other than shaped to contain specific apparatus used in playing sports; tennis bags, other than adapted [shaped] to contain a racket; shoulder belts; wallets for attachment to belts; webbed belts [harnesses]; leather laces; leather wallets; pocket wallets; wallet holders incorporating shoulder straps; wallets for attachment to belts; holders [not stationery] in the nature of wallets for address books, cards, diaries, note books, note pads or printed materials; holders [stationery] in the nature of wallets for note books, note pads, printed materials or keys; luggage labels [tags] of leather or imitations of leather; umbrellas, parasols and walking sticks.","FOOT LOCKER RETAIL, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0401689E/0adc680e-1cce-49f4-88bd-b779ed577b5a/T0401689E.jpg,Removed,2013-10-20
